text,label,label_id,language_variant,language_id,is_synthetic
जेनरेटर सर्विस चार्ज ₹1500,capital_goods,0,Hindi (Devanagari),0,True
टाटा स्टील प्लेट 2 मीटर @ 2000/मीटर,capital_goods,0,Hindi (Devanagari),0,True
ऑफिस चेयर गोदरेज,capital_goods,0,Hindi (Devanagari),0,True
कंप्यूटर डेस्क मोदी फर्नीचर,capital_goods,0,Hindi (Devanagari),0,True
प्लांट मशीन पार्ट्स ₹7500,capital_goods,0,Hindi (Devanagari),0,True
डेल लैपटॉप ऑफिस के लिए,capital_goods,0,Hindi (Devanagari),0,True
फैक्ट्री टूल्स सेट 10 पीस,capital_goods,0,Hindi (Devanagari),0,True
ऑफिस एसी वोल्टास,capital_goods,0,Hindi (Devanagari),0,True
जनरेटर रिपेयरिंग ₹3000,capital_goods,0,Hindi (Devanagari),0,True
स्टील रॉड 5 किलो @ 120/किलो,capital_goods,0,Hindi (Devanagari),0,True
कंप्यूटर टेबल 2 नंबर,capital_goods,0,Hindi (Devanagari),0,True
फैक्ट्री मशीन स्पेयर पार्ट्स,capital_goods,0,Hindi (Devanagari),0,True
प्रिंटर कार्ट्रिज ₹1200,capital_goods,0,Hindi (Devanagari),0,True
ऑफिस फैन 3 नंबर,capital_goods,0,Hindi (Devanagari),0,True
कम्प्यूटर मॉनिटर एलजी,capital_goods,0,Hindi (Devanagari),0,True
कच्चा माल ट्रांसपोर्ट चार्ज ₹2000,capital_goods,0,Hindi (Devanagari),0,True
मशीन ऑयल 5 लीटर @ 400/लीटर,capital_goods,0,Hindi (Devanagari),0,True
ऑफिस कैबिनेट गोदरेज,capital_goods,0,Hindi (Devanagari),0,True
फैक्ट्री टूल्स रिपेयरिंग ₹1500,capital_goods,0,Hindi (Devanagari),0,True
कंप्यूटर रैम 4GB किंग्सटन,capital_goods,0,Hindi (Devanagari),0,True
प्लांट मशीन सर्विस चार्ज ₹5000,capital_goods,0,Hindi (Devanagari),0,True
ऑफिस टेबल फोल्डिंग,capital_goods,0,Hindi (Devanagari),0,True
जेनरेटर फ्यूल टैंक ₹2500,capital_goods,0,Hindi (Devanagari),0,True
स्टील पाइप 10 मीटर @ 150/मीटर,capital_goods,0,Hindi (Devanagari),0,True
कंप्यूटर कीबोर्ड डेल,capital_goods,0,Hindi (Devanagari),0,True
फैक्ट्री बेंच 5 नंबर,capital_goods,0,Hindi (Devanagari),0,True
ऑफिस प्रिंटर HP,capital_goods,0,Hindi (Devanagari),0,True
प्लांट मशीन बेल्ट ₹800,capital_goods,0,Hindi (Devanagari),0,True
कंप्यूटर माउस लोजिटेक,capital_goods,0,Hindi (Devanagari),0,True
फैक्ट्री वायर 20 मीटर @ 50/मीटर,capital_goods,0,Hindi (Devanagari),0,True
ऑफिस एसी फिल्टर ₹600,capital_goods,0,Hindi (Devanagari),0,True
जेनरेटर बैटरी ₹3500,capital_goods,0,Hindi (Devanagari),0,True
स्टील शीट 2 नंबर @ 500/नंबर,capital_goods,0,Hindi (Devanagari),0,True
कंप्यूटर प्रोसेसर इंटेल,capital_goods,0,Hindi (Devanagari),0,True
फैक्ट्री लैंप 10 पीस,capital_goods,0,Hindi (Devanagari),0,True
ऑफिस कुर्सी फोल्डिंग,capital_goods,0,Hindi (Devanagari),0,True
प्लांट मशीन ग्रीस ₹200,capital_goods,0,Hindi (Devanagari),0,True
कंप्यूटर हार्ड डिस्क 1TB,capital_goods,0,Hindi (Devanagari),0,True
फैक्ट्री पाइप 5 मीटर @ 100/मीटर,capital_goods,0,Hindi (Devanagari),0,True
ऑफिस टेबल ग्लास ₹1500,capital_goods,0,Hindi (Devanagari),0,True
जेनरेटर स्पेयर पार्ट्स ₹4000,capital_goods,0,Hindi (Devanagari),0,True
स्टील वायर 15 किलो @ 80/किलो,capital_goods,0,Hindi (Devanagari),0,True
कंप्यूटर स्पीकर लोजिटेक,capital_goods,0,Hindi (Devanagari),0,True
फैक्ट्री टूल्स बॉक्स ₹1200,capital_goods,0,Hindi (Devanagari),0,True
ऑफिस पंखा 2 नंबर,capital_goods,0,Hindi (Devanagari),0,True
प्लांट मशीन स्पेयर ₹6000,capital_goods,0,Hindi (Devanagari),0,True
कंप्यूटर प्रिंटर कार्ट्रिज ₹800,capital_goods,0,Hindi (Devanagari),0,True
फैक्ट्री बेंच 3 नंबर,capital_goods,0,Hindi (Devanagari),0,True
ऑफिस कैबिनेट वुडन ₹2500,capital_goods,0,Hindi (Devanagari),0,True
जेनरेटर रिपेयर @ 1500,capital_goods,0,Hindi (Devanagari),0,True
टाटा स्टील पाइप 5m @ 200/m,capital_goods,0,Hindi (Devanagari),0,True
ऑफिस चेयर 2 पीस,capital_goods,0,Hindi (Devanagari),0,True
देल लैपटॉप फॉर ऑफिस,capital_goods,0,Hindi (Devanagari),0,True
फैक्ट्री टूल्स सेट,capital_goods,0,Hindi (Devanagari),0,True
प्लांट मशीनरी स्पेयर पार्ट्स,capital_goods,0,Hindi (Devanagari),0,True
प्रिंटर कार्ट्रिज 2 पीस,capital_goods,0,Hindi (Devanagari),0,True
कंप्यूटर टेबल 1 नंबर,capital_goods,0,Hindi (Devanagari),0,True
जेनरेटर ऑयल 5 लीटर,capital_goods,0,Hindi (Devanagari),0,True
ऑफिस फर्नीचर बिल,capital_goods,0,Hindi (Devanagari),0,True
स्टील राॅड 3m @ 1200/m,capital_goods,0,Hindi (Devanagari),0,True
फैक्ट्री फैन 2 पीस,capital_goods,0,Hindi (Devanagari),0,True
टाटा पावर टूल्स,capital_goods,0,Hindi (Devanagari),0,True
ऑफिस एसी सर्विस चार्ज,capital_goods,0,Hindi (Devanagari),0,True
कंप्यूटर माउस 3 पीस,capital_goods,0,Hindi (Devanagari),0,True
प्लांट मशीनरी मेन्टेनेंस,capital_goods,0,Hindi (Devanagari),0,True
जेनरेटर फ्यूल टैंक,capital_goods,0,Hindi (Devanagari),0,True
ऑफिस प्रिंटर रिपेयर,capital_goods,0,Hindi (Devanagari),0,True
स्टील प्लेट 10kg,capital_goods,0,Hindi (Devanagari),0,True
फैक्ट्री सुरक्षा गियर,capital_goods,0,Hindi (Devanagari),0,True
टाटा मोटर पार्ट्स,capital_goods,0,Hindi (Devanagari),0,True
ऑफिस डेस्क 1 नंबर,capital_goods,0,Hindi (Devanagari),0,True
कंप्यूटर रैम 4GB,capital_goods,0,Hindi (Devanagari),0,True
प्लांट मशीनरी बीयरिंग,capital_goods,0,Hindi (Devanagari),0,True
जेनरेटर बैटरी चार्जर,capital_goods,0,Hindi (Devanagari),0,True
ऑफिस लैंप 2 पीस,capital_goods,0,Hindi (Devanagari),0,True
स्टील वायर 5m @ 50/m,capital_goods,0,Hindi (Devanagari),0,True
फैक्ट्री टूल बॉक्स,capital_goods,0,Hindi (Devanagari),0,True
टाटा जेनरेटर सर्विस,capital_goods,0,Hindi (Devanagari),0,True
ऑफिस फाइल कैबिनेट,capital_goods,0,Hindi (Devanagari),0,True
कंप्यूटर मॉनिटर 22 इंच,capital_goods,0,Hindi (Devanagari),0,True
प्लांट मशीनरी बेल्ट,capital_goods,0,Hindi (Devanagari),0,True
जेनरेटर वाटर पंप,capital_goods,0,Hindi (Devanagari),0,True
ऑफिस स्टेशनरी बिल,capital_goods,0,Hindi (Devanagari),0,True
स्टील नट बोल्ट सेट,capital_goods,0,Hindi (Devanagari),0,True
फैक्ट्री वर्क टेबल,capital_goods,0,Hindi (Devanagari),0,True
टाटा पावर कॉर्ड,capital_goods,0,Hindi (Devanagari),0,True
ऑफिस कुर्सी कुशन,capital_goods,0,Hindi (Devanagari),0,True
प्लांट मशीनरी ग्रीस,capital_goods,0,Hindi (Devanagari),0,True
जेनरेटर स्पेयर पार्ट्स,capital_goods,0,Hindi (Devanagari),0,True
ऑफिस प्रिंटर इंक,capital_goods,0,Hindi (Devanagari),0,True
स्टील स्क्रू ड्राइवर,capital_goods,0,Hindi (Devanagari),0,True
फैक्ट्री ग्लव्स 10 पीस,capital_goods,0,Hindi (Devanagari),0,True
टाटा जेनरेटर बेल्ट,capital_goods,0,Hindi (Devanagari),0,True
ऑफिस बुक शेल्फ,capital_goods,0,Hindi (Devanagari),0,True
कंप्यूटर कीबोर्ड 1 नंबर,capital_goods,0,Hindi (Devanagari),0,True
प्लांट मशीनरी पाइप,capital_goods,0,Hindi (Devanagari),0,True
जेनरेटर फ्यूल पंप,capital_goods,0,Hindi (Devanagari),0,True
जनरेटर मरम्मत शुल्क 2500 रुपये,capital_goods,0,Hindi (Devanagari),0,True
हवा कंप्रेसर खरीद - अम्बर इंडस्ट्रीज,capital_goods,0,Hindi (Devanagari),0,True
3 टेबल फैक्ट्री के लिए @ 4500 प्रति,capital_goods,0,Hindi (Devanagari),0,True
कंप्यूटर मॉनिटर डेल 22 इंच,capital_goods,0,Hindi (Devanagari),0,True
ऑफिस चेयर 5 नंबर ग्रीन कलर,capital_goods,0,Hindi (Devanagari),0,True
वेल्डिंग मशीन सुपरफास्ट ब्रांड,capital_goods,0,Hindi (Devanagari),0,True
प्रिंटर कार्ट्रिज HP 85A,capital_goods,0,Hindi (Devanagari),0,True
इलेक्ट्रिकल टूल्स सेट 12 पीस,capital_goods,0,Hindi (Devanagari),0,True
स्टील रैक 6 फीट x 4 फीट,capital_goods,0,Hindi (Devanagari),0,True
अकाउंट्स लैपटॉप लेनोवो आई5,capital_goods,0,Hindi (Devanagari),0,True
फैक्ट्री पंखे 3 नंबर @ 1800,capital_goods,0,Hindi (Devanagari),0,True
टाटा स्टील पाइप 10 मीटर,capital_goods,0,Hindi (Devanagari),0,True
ऑफिस अलमारी गोदरेज ब्रांड,capital_goods,0,Hindi (Devanagari),0,True
डीजल जनरेटर सेवा चार्ज,capital_goods,0,Hindi (Devanagari),0,True
कंप्यूटर टेबल मेटल फ्रेम,capital_goods,0,Hindi (Devanagari),0,True
वायर कटर स्टैनले ब्रांड,capital_goods,0,Hindi (Devanagari),0,True
2 CPU कैबिनेट इंटेल कोर,capital_goods,0,Hindi (Devanagari),0,True
फैक्स मशीन पुरानी रिपेयरिंग,capital_goods,0,Hindi (Devanagari),0,True
सिक्योरिटी कैमरा 4 चैनल DVR,capital_goods,0,Hindi (Devanagari),0,True
वाटर कूलर सिन्धु इलेक्ट्रिकल,capital_goods,0,Hindi (Devanagari),0,True
स्टील वर्कबेंच कस्टम मेड,capital_goods,0,Hindi (Devanagari),0,True
फाइल कैबिनेट 4 ड्रॉअर ब्लैक,capital_goods,0,Hindi (Devanagari),0,True
ट्रक क्रेन सेवा शुल्क 1 दिन,capital_goods,0,Hindi (Devanagari),0,True
बैटरी बैकअप 1500VA न्यू,capital_goods,0,Hindi (Devanagari),0,True
ड्रिल मशीन बॉश 10mm,capital_goods,0,Hindi (Devanagari),0,True
स्प्लिट AC 1.5 टन LG,capital_goods,0,Hindi (Devanagari),0,True
फैक्ट्री लाइटिंग फिटिंग्स 20 नंबर,capital_goods,0,Hindi (Devanagari),0,True
कंप्यूटर UPS 600VA माइक्रोटेक,capital_goods,0,Hindi (Devanagari),0,True
स्टेनलेस स्टील ट्रॉली 3 टायर,capital_goods,0,Hindi (Devanagari),0,True
प्रोजेक्टर इंफोकस ब्रांड ऑफिस,capital_goods,0,Hindi (Devanagari),0,True
फायर एक्स्टिंग्विशर रिफिल,capital_goods,0,Hindi (Devanagari),0,True
वर्कशॉप टूल बॉक्स लोकल,capital_goods,0,Hindi (Devanagari),0,True
सर्वर रैक 42U नेटवर्क,capital_goods,0,Hindi (Devanagari),0,True
ऑफिस सोफा सेट 3+1+1,capital_goods,0,Hindi (Devanagari),0,True
हैवी ड्यूटी ग्राइंडर मशीन,capital_goods,0,Hindi (Devanagari),0,True
